,Название,Срок созревания
142,Морковь Пятерка,Позднеспелый
143,Морковь Негритянка,Среднеспелый
144,Морковь Каскад,Раннеспелый
145,Морковь Барыня Сеялка ПЛЮС,Раннеспелый
146,Морковь Шантенэ Роял драже,Среднеспелый
147,Морковь Шантенэ 2461 Сеялка ПЛЮС,Среднеспелый
148,Морковь Шантенэ 2461 драже,Среднеспелый
149,Морковь Супер Мускат Сеялка ПЛЮС,Среднеспелый
150,Морковь Супер Мускат драже,Среднеспелый
151,Морковь Сластена Сеялка ПЛЮС,Среднеспелый
152,Морковь Сластена драже,Среднеспелый
